,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,side_branches_in_cm,main_stem_length_in_cm
244,0.33,17,63.0,0.13,45.5,27.0
714,0.41,0,0.0,0.15,45.5,71.0
543,0.73,0,0.0,0.15,50.0,79.0
544,0.75,0,0.0,0.15,45.0,81.0
639,0.43,0,0.0,0.15,45.5,61.0
697,0.68,8,11.6,0.15,45.5,69.0
423,0.73,0,0.0,0.15,45.5,54.0
910,0.44,22,44.0,0.15,45.5,50.0
659,0.25,0,0.0,0.15,45.5,42.0
797,0.46,0,0.0,0.15,45.5,68.0
1045,0.91,9,9.2,0.25,45.5,98.0
99,0.46,0,0.0,0.12,45.5,83.0
850,0.52,0,0.0,0.15,45.5,87.0
448,0.38,0,0.0,0.15,45.5,74.0
755,0.4,5,8.3,0.15,45.5,60.0
976,0.69,5,5.1,0.15,45.5,99.0
115,0.4,9,21.4,0.15,45.5,42.0
777,0.63,23,38.3,0.15,45.5,60.0
72,0.41,2,3.0,0.1,45.5,66.0
845,0.63,21,37.5,0.15,45.5,56.0
537,0.75,0,0.0,0.15,45.5,64.0
849,0.59,0,0.0,0.15,45.5,84.0
174,0.49,4,6.2,0.06,45.5,65.0
87,0.56,0,0.0,0.07,45.5,64.0
551,0.34,0,0.0,0.15,45.5,49.0
705,0.61,3,6.3,0.15,21.0,48.0
314,0.17,0,0.0,0.15,45.5,13.5
600,0.53,0,0.0,0.15,45.5,41.0
599,0.58,0,0.0,0.15,45.5,26.0
277,0.42,8,18.2,0.16,45.5,44.0
1033,0.6,14,25.9,0.35,45.5,54.0
763,0.56,5,8.6,0.15,194.0,58.0
835,0.7,15,22.7,0.15,45.5,66.0
559,0.32,0,0.0,0.15,45.5,29.0
684,0.43,0,0.0,0.15,36.0,73.0
