,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
920,13,0.18,0.44,0,37.0
860,0,0.18,0.31,0,47.0
1046,6,0.36,0.37,1,18.0
365,0,0.18,0.27,0,10.0
883,6,0.18,0.33,0,30.0
26,18,0.36,0.61,1,43.0
939,12,0.18,0.29,0,39.0
417,0,0.18,0.16,0,13.0
613,0,0.18,0.3,1,40.0
887,10,0.18,0.43,0,42.0
3,30,0.26,0.64,1,59.0
134,5,0.2,0.49,1,25.0
355,0,0.18,0.23,0,11.5
956,4,0.18,0.59,1,72.0
833,7,0.18,0.69,0,73.0
1038,8,0.26,0.56,1,67.0
608,0,0.18,0.43,1,52.0
859,0,0.18,0.37,0,51.0
225,21,0.1,0.43,0,26.5
894,26,0.18,0.67,0,50.0
369,0,0.18,0.21,0,19.0
738,0,0.18,0.49,0,70.0
339,0,0.18,0.18,0,14.0
419,0,0.18,0.7,1,91.0
603,0,0.18,0.51,1,45.0
903,22,0.18,0.71,0,88.0
265,23,0.1,0.47,1,52.0
454,0,0.18,0.76,1,58.0
63,0,0.04,0.38,0,66.0
823,10,0.18,0.68,0,62.0
360,0,0.18,0.23,0,11.5
237,10,0.13,0.37,0,29.0
112,0,0.09,0.33,0,51.0
1036,19,0.23,0.38,1,53.0
532,0,0.18,0.48,1,43.0
577,0,0.18,0.33,1,38.0
126,2,0.07,0.41,1,47.0
259,5,0.11,0.35,0,29.0
805,0,0.18,0.75,0,87.0
781,7,0.18,0.37,0,40.0
137,0,0.11,0.62,1,71.0
725,0,0.18,0.45,0,90.0
7,41,0.15,0.68,1,46.0
502,0,0.18,0.76,1,64.0
631,0,0.18,0.47,1,63.0
905,8,0.18,0.44,0,48.0
760,2,0.18,0.5,0,26.0
926,1,0.18,0.11,0,30.0
407,0,0.18,0.16,0,12.0
750,0,0.18,0.66,0,75.0
353,0,0.18,0.18,0,14.0
153,0,0.15,0.63,1,86.0
566,0,0.18,0.67,1,57.0
542,0,0.18,0.33,1,25.0
343,0,0.18,0.21,0,16.5
967,1,0.58,1.08,1,63.0
612,0,0.18,0.4,1,43.0
1065,2,0.18,0.71,0,96.0
899,37,0.18,0.82,0,77.0
56,0,0.02,0.53,0,103.0
400,0,0.18,0.26,0,8.0
572,0,0.18,0.3,1,34.0
473,4,0.18,0.26,1,27.0
468,0,0.18,0.54,1,34.0
708,0,0.18,0.28,0,65.0
827,1,0.18,0.44,0,56.0
504,0,0.18,0.56,1,61.0
1043,0,0.34,0.46,1,50.0
706,0,0.18,0.6,0,70.0
648,0,0.18,0.3,1,39.0
1019,1,0.18,0.77,0,100.0
300,0,0.18,0.21,0,20.0
731,0,0.18,0.34,0,59.0
722,0,0.18,0.61,0,83.0
570,0,0.18,0.34,1,35.0
163,1,0.12,0.57,1,72.0
636,0,0.18,0.41,1,40.0
336,0,0.18,0.29,0,20.5
59,0,0.05,0.73,0,85.0
895,25,0.18,0.38,0,58.0
1021,13,0.18,0.52,0,38.0
490,0,0.18,0.36,1,18.0
855,0,0.18,0.46,0,56.0
449,0,0.18,0.55,1,46.0
762,2,0.18,0.45,0,59.0
437,0,0.18,0.28,1,40.0
670,0,0.18,0.38,0,56.0
563,0,0.18,0.43,1,49.0
842,21,0.18,0.7,0,64.0
970,1,0.16,0.94,1,86.0
219,39,0.29,0.58,1,51.0
837,6,0.18,0.58,0,60.0
586,0,0.18,0.44,1,41.0
282,23,0.13,0.69,0,34.0
348,0,0.18,0.2,0,6.0
744,0,0.18,0.58,0,93.0
4,31,0.3,0.65,1,45.0
893,10,0.18,0.67,0,43.0
463,0,0.18,0.38,1,28.0
871,19,0.18,0.44,0,26.0
1032,6,0.41,0.7,1,46.0
959,0,0.18,0.65,1,89.0
517,0,0.18,0.29,1,22.0
653,0,0.18,0.24,1,43.0
573,0,0.18,0.41,1,38.0
647,0,0.18,0.42,1,52.0
953,4,0.18,0.71,1,86.0
975,0,0.18,0.84,0,111.0
534,0,0.18,0.53,1,47.0
987,4,0.34,0.52,1,46.0
276,34,0.26,0.61,1,33.0
284,19,0.14,0.47,0,43.0
470,0,0.18,0.41,1,45.0
426,0,0.18,0.44,1,78.0
281,3,0.09,0.41,0,28.0
120,2,0.07,0.31,1,43.0
593,0,0.18,0.31,1,36.0
1057,10,0.53,0.6,1,41.0
13,26,0.28,0.48,1,31.0
712,6,0.18,0.43,0,40.0
455,0,0.18,0.61,1,52.0
584,0,0.18,0.46,1,60.0
147,5,0.14,0.38,1,37.0
160,0,0.1,0.63,1,76.0
1054,5,0.43,0.55,1,37.0
933,19,0.18,0.63,0,48.0
986,7,0.27,0.45,1,32.0
807,0,0.18,0.47,0,76.0
195,2,0.18,0.5,1,53.0
191,3,0.13,0.38,1,64.0
628,0,0.18,0.41,1,31.0
536,0,0.18,0.48,1,41.0
960,0,0.18,0.63,1,104.0
164,3,0.12,0.53,1,73.0
106,4,0.06,0.33,0,38.0
16,3,0.22,0.66,1,36.0
575,0,0.18,0.5,1,69.0
1013,7,0.53,0.78,1,46.0
1040,11,0.33,0.69,1,62.0
540,0,0.18,0.53,1,47.0
329,0,0.18,0.24,0,10.0
480,0,0.18,0.23,1,13.0
498,0,0.18,0.52,1,32.0
947,5,0.18,0.75,0,111.0
405,0,0.18,0.24,0,13.0
971,3,0.18,0.7,0,107.0
93,0,0.11,0.54,1,73.0
433,0,0.18,0.84,1,59.0
83,0,0.08,0.56,0,85.0
918,12,0.18,0.7,0,87.0
978,14,0.32,0.7,1,64.0
710,0,0.18,0.43,0,47.0
657,0,0.18,0.38,1,24.0
414,0,0.18,0.19,0,2.0
662,0,0.18,0.53,1,16.0
1055,1,0.47,0.61,1,49.0
973,1,0.35,0.8,1,72.0
789,2,0.18,0.57,0,60.0
997,1,0.3,0.86,1,79.0
813,3,0.18,0.8,0,53.0
322,0,0.18,0.14,0,11.0
556,0,0.18,0.4,1,54.0
357,0,0.18,0.14,0,7.0
69,0,0.21,0.81,1,85.0
514,0,0.18,0.52,1,40.0
509,0,0.18,0.36,1,21.0
340,0,0.18,0.27,0,23.5
221,20,0.18,0.57,1,44.0
1016,14,0.23,0.55,1,74.0
146,6,0.16,0.31,1,34.0
289,8,0.09,0.4,0,37.0
753,6,0.18,0.33,0,58.0
29,22,0.35,0.64,1,27.5
114,1,0.12,0.35,1,51.0
508,0,0.18,0.44,1,51.0
958,0,0.18,0.7,1,77.0
1051,6,0.44,0.57,1,43.0
176,1,0.07,0.44,0,72.0
168,0,0.05,0.56,0,75.0
347,0,0.18,0.23,0,12.0
376,0,0.18,0.19,0,18.0
828,14,0.18,0.59,0,52.0
949,6,0.18,0.89,0,125.0
928,9,0.18,0.43,0,53.0
838,7,0.18,0.51,0,68.0
189,0,0.18,0.88,1,96.0
136,10,0.18,0.46,1,43.0
446,0,0.18,0.63,1,39.0
913,35,0.18,0.53,0,116.0
254,16,0.08,0.53,0,54.0
961,1,0.18,0.67,0,113.0
290,22,0.11,0.38,0,29.0
459,0,0.18,0.37,1,33.0
768,4,0.18,0.53,0,44.0
921,1,0.18,0.33,0,43.0
767,0,0.18,0.44,0,52.0
232,20,0.21,0.51,1,42.0
645,0,0.18,0.33,1,42.0
33,9,0.14,0.45,1,43.0
88,0,0.05,0.42,0,66.0
44,5,0.2,0.3,0,25.0
341,0,0.18,0.24,0,9.0
61,0,0.07,0.42,0,65.0
1037,6,0.28,0.49,1,54.0
199,5,0.06,0.43,0,58.0
429,0,0.18,0.62,1,44.0
810,2,0.18,0.5,0,65.0
394,0,0.18,0.21,0,12.5
1048,10,0.46,0.47,1,36.0
831,15,0.18,0.63,0,64.0
730,0,0.18,0.34,0,57.0
297,10,0.14,0.24,0,25.0
73,0,0.11,0.51,1,83.0
393,0,0.18,0.24,0,10.0
547,0,0.18,0.55,1,39.0
579,0,0.18,0.35,1,30.0
541,0,0.18,0.58,1,38.0
929,3,0.18,0.39,0,43.0
907,21,0.18,0.41,0,61.0
914,21,0.18,0.42,0,59.0
663,0,0.18,0.36,1,42.0
217,31,0.1,0.51,1,47.5
539,0,0.18,0.59,1,25.0
897,28,0.18,0.89,0,85.0
902,20,0.18,0.68,0,51.0
623,0,0.18,0.34,1,35.0
668,0,0.18,0.51,0,110.0
898,13,0.18,0.56,0,32.0
421,0,0.18,0.53,1,45.0
694,8,0.18,0.48,0,67.0
138,3,0.3,0.8,1,75.0
212,10,0.18,0.54,1,42.0
616,0,0.18,0.53,1,31.0
916,10,0.18,0.43,0,34.0
912,8,0.18,0.33,0,38.0
942,9,0.18,0.4,0,20.0
727,0,0.18,0.55,0,86.0
709,1,0.18,0.59,0,42.0
701,0,0.18,0.62,0,64.0
726,0,0.18,0.65,0,99.0
1003,18,0.23,0.43,1,40.0
716,0,0.18,0.57,0,75.0
234,44,0.07,0.55,0,48.0
771,10,0.18,0.6,0,58.0
67,0,0.15,0.55,1,57.0
24,6,0.16,0.65,0,37.0
381,0,0.18,0.26,0,4.0
216,15,0.11,0.48,1,30.5
812,0,0.18,0.39,0,60.0
735,0,0.18,0.55,0,95.0
129,1,0.09,0.58,1,62.0
349,0,0.18,0.18,0,11.0
111,4,0.12,0.62,1,67.0
166,0,0.05,0.72,0,100.0
1000,0,0.18,0.78,0,115.0
207,7,0.17,0.34,1,34.0
438,0,0.18,0.34,1,34.0
552,0,0.18,0.67,1,54.0
274,5,0.13,0.38,1,39.0
924,0,0.18,0.32,0,22.0
591,0,0.18,0.68,1,56.0
980,0,0.28,1.09,1,92.0
1002,1,0.38,0.41,1,8.0
839,10,0.18,0.51,0,54.0
525,0,0.18,0.6,1,41.0
287,9,0.18,0.36,0,29.5
469,0,0.18,0.51,1,36.0
326,0,0.18,0.15,0,13.0
121,10,0.08,0.31,0,39.0
1062,1,0.21,0.53,1,51.0
507,0,0.18,0.35,1,28.0
228,10,0.1,0.23,1,17.5
673,0,0.18,0.33,0,88.0
595,0,0.18,0.68,1,59.0
445,0,0.18,0.41,1,31.0
117,6,0.16,0.62,1,57.0
464,0,0.18,0.56,1,57.0
25,10,0.13,0.48,0,41.0
110,0,0.05,0.67,0,90.0
149,1,0.16,0.31,1,31.0
152,0,0.06,0.68,0,110.0
528,0,0.18,0.67,1,62.0
696,0,0.18,0.49,0,69.0
843,18,0.18,0.51,0,54.0
621,0,0.18,0.44,1,31.0
461,0,0.18,0.66,1,48.0
598,0,0.18,0.65,1,51.0
139,5,0.05,0.65,0,48.0
749,5,0.18,0.51,0,64.0
260,22,0.2,0.62,1,55.0
864,24,0.18,0.83,0,51.0
925,1,0.18,0.34,0,29.0
829,15,0.18,0.42,0,58.0
323,0,0.18,0.21,0,15.5
979,0,0.48,1.08,1,71.0
248,12,0.08,0.27,0,29.0
450,0,0.18,0.43,1,49.0
410,0,0.18,0.14,0,5.0
840,28,0.18,0.71,0,58.0
607,0,0.18,0.48,1,63.0
19,8,0.19,0.53,1,35.0
328,0,0.18,0.23,0,12.0
296,10,0.06,0.31,0,27.5
880,12,0.18,0.64,0,43.0
269,9,0.05,0.37,0,47.0
875,16,0.18,0.41,0,28.0
226,26,0.2,0.49,1,41.0
94,0,0.05,0.34,0,83.0
515,0,0.18,0.36,1,54.0
915,10,0.18,0.41,0,34.0
637,0,0.18,0.44,1,56.0
280,17,0.09,0.44,0,39.0
286,10,0.09,0.39,0,29.0
589,0,0.18,0.49,1,42.0
1018,2,0.45,0.76,1,45.0
444,0,0.18,0.33,1,27.0
184,8,0.17,0.52,1,78.0
371,0,0.18,0.39,0,25.0
